Region,District,P_Code,<5 Male,<5 Female,<5 Total,5-17 Male,5-17 Female,50-17 Total,18-59 Male,18-59 Female,18-59 Total,60+ Male,60+ Female,60+ Total,Male Total,Female Total,Total
Bay,Baydhaba,SO2401,77508,71753,149261,161188,151535,312723,122753,140849,263602,18033,19184,37217,379482,383321,762803
Bay,Buur Hakaba,SO2402,21577,19974,41551,44872,42184,87056,34171,39208,73379,5019,5341,10360,105639,106707,212346
Bay,Diinsoor,SO2403,18359,16996,35355,38179,35893,74072,29076,33361,62437,4272,4545,8817,89886,90795,180681
Bay,Qansax Dheere,SO2404,14400,13331,27731,29948,28153,58101,22807,26167,48974,3351,3564,6915,70506,71215,141721
Lower Shabelle,Afgooye,SO2302,58963,54585,113548,122622,115278,237900,93381,107147,200528,13719,14595,28314,288685,291605,580290
Lower Shabelle,Baraawe,SO2303,6839,6331,13170,14224,13372,27596,10831,12429,23260,1592,1693,3285,33486,33825,67311
Lower Shabelle,Kurtunwaarey,SO2304,8050,7452,15502,16740,15737,32477,12747,14628,27375,1873,1993,3866,39410,39810,79220
Lower Shabelle,Marka,SO2301,30851,28560,59411,64159,60316,124475,48861,56062,104923,7178,7637,14815,151049,152575,303624
Lower Shabelle,Qoryooley,SO2305,15801,14627,30428,32860,30891,63751,25025,28713,53738,3676,3913,7589,77362,78144,155506
Lower Shabelle,Sablaale,SO2306,7903,7316,15219,16436,15452,31888,12515,14361,26876,1838,1955,3793,38692,39084,77776
Lower Shabelle,Wanla Weyn,SO2307,39900,36937,76837,82976,78006,160982,63191,72506,135697,9284,9876,19160,195351,197325,392676
